"movieId","movie_title","title_year","genres.x","genres.y","director_name","actor_1_name","actor_2_name","actor_3_name","duration","plot_keywords","language","country","facenumber_in_poster","imdb_score","movielens_score","movielens_score_normalized","aprox_imdb_score","aprox_movielens_score","aprox_movielens_normalized_score"
1,"Toy Story ",1995,"Adventure|Animation|Children|Comedy|Fantasy","Adventure|Animation|Comedy|Family|Fantasy","John Lasseter","Tom Hanks","John Ratzenberger","Jim Varney",74,"claw crane|cowboy|jealousy|rivalry|toy","English","USA",1,8.3,3.89480173441017,7.78960346882034,8,4,8
10,"GoldenEye ",1995,"Action|Adventure|Thriller","Action|Adventure|Thriller","Martin Campbell","Izabella Scorupco","Joe Don Baker","Tchéky Karyo",130,"agent|cossack|official james bond series|russia|russian","English","UK",2,7.2,3.43688809516216,6.87377619032433,7,3,7
11,"The American President ",1995,"Comedy|Drama|Romance","Comedy|Drama|Romance","Rob Reiner","Shawna Waldron","Samantha Mathis","Wendie Malick",114,"lobbyist|president|senator|state dinner|widower","English","USA",0,6.8,3.66412433820831,7.32824867641663,7,4,7
14,"Nixon ",1995,"Drama","Biography|Drama|History","Oliver Stone","Anthony Hopkins","Bob Hoskins","Joan Allen",212,"courtship|election|paranoia|president|quaker","English","USA",0,7.1,3.43133333333333,6.86266666666667,7,3,7
15,"Cutthroat Island ",1995,"Action|Adventure|Romance","Action|Adventure|Comedy","Renny Harlin","Christopher Masterson","Frank Langella","Matthew Modine",124,"latin|pirate|pirate ship|treasure|treasure map","English","USA",3,5.6,2.72827882391807,5.45655764783614,6,3,5
16,"Casino ",1995,"Crime|Drama","Biography|Crime|Drama","Martin Scorsese","Robert De Niro","Don Rickles","Kevin Pollak",178,"car bomb|card cheat|cash|casino|gambling syndicate","English","USA",2,8.2,3.78511264985531,7.57022529971062,8,4,8
17,"Sense and Sensibility ",1995,"Drama|Romance","Drama|Romance","Ang Lee","Alan Rickman","Kate Winslet","Tom Wilkinson",136,"1810s|female protagonist|horseback riding|inheritance|three word title","English","USA",2,7.7,3.95750021091707,7.91500042183413,8,4,8
18,"Four Rooms ",1995,"Comedy","Comedy|Fantasy","Allison Anders","Salma Hayek","Alicia Witt","Lili Taylor",110,"bellhop|coven|gangster|hotel|new year's eve","English","USA",6,6.7,3.40200657325722,6.80401314651444,7,3,7
19,"Ace Ventura: When Nature Calls ",1995,"Comedy","Adventure|Comedy","Steve Oedekerk","Bruce Spence","Bob Gunton","Sophie Okonedo",90,"africa|bat|hawaiian shirt|pregnancy|pregnant","English","USA",0,6.3,2.62263408663723,5.24526817327447,6,3,5
20,"Money Train ",1995,"Action|Comedy|Crime|Drama|Thriller","Action|Comedy|Crime|Drama|Thriller","","Vincent Pastore","Robert Blake","Aida Turturro",105,"bare breasts|breast|loan shark|subway|train","English","USA",1,5.6,2.89926942661058,5.79853885322116,6,3,6
